"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","4.7uF","","","","","~"
"C2","1","C","","","","","~"
"C4","1","1uF","","","","","~"
"C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28","14","1uF","","","","Capacitor_SMD:C_2220_5750Metric","~"
"D1","1","ESD7L5.0DT5G","","","","MMBT2907AM3T5G","https://www.onsemi.com/pub/Collateral/ESD7L-D.PDF"
"IC1","1","ST1L05APU33R","","","","SON95P300X300X100-7N-D","https://www.st.com/resource/en/datasheet/st1l05.pdf"
"J1","1","12401598E4_2A","","","","12401598E4_2A:AMPHENOL_12401598E4_2A",""
"J2","1","Conn_01x18_Pin","","","","","~"
"R1,R2","2","5.1K","","","","","~"
"R3","1","10K","","","","","~"
"R4,R5","2","1K","","","","","~"
"R10,R11","2","10K","","","","Resistor_SMD:R_2010_5025Metric","~"
"R12,R13,R14,R15,R16,R17,R18","7","27","","","","Resistor_SMD:R_2010_5025Metric","~"
"S1,S2","2","PTS_647_SM38_SMTR2_LFS","","","","PTS_647_SM38_SMTR2_LFS:SW_PTS_647_SM38_SMTR2_LFS",""
"U1","1","W25Q128JVSIM_TR","","","","W25Q128JVSIM_TR:SOIC127P790X216-8N",""
"U2","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"Y2","1","ASE-12.000MHZ-ET","","","","ASE-12.000MHZ-ET:XTAL_ASE-12.000MHZ-ET",""
